actiongeocountrycode,eventbasecode,No_events,Tone,Goldstein,yearmonth
AE,180,47,-6.583715959988234,-9.0,202001
AE,180,71,-7.372865109265875,-9.0,202002
AE,181,3,-3.8805970149253697,-9.0,192001
AE,181,2,-3.55450236966825,-9.0,201901
AE,181,2,-3.093040658518335,-9.0,202001
AE,181,4,2.7024188241754628,-9.0,202002
AE,182,2,-10.3448275862069,-9.5,192001
AE,182,1,-8.08383233532934,-9.5,201912
AE,182,16,-4.901190196295648,-9.53125,202001
AE,182,8,-6.7056689101517,-9.1875,202002
AE,183,1,0.5249343832021,-10.0,202002
AE,186,7,-4.423718170416996,-10.0,192001
AE,186,13,-2.2025681726291855,-10.0,202001
AE,186,27,-3.4973348421095034,-10.0,202002
AE,190,54,-5.2787857192004894,-10.0,192001
AE,190,7,-5.023185962102052,-10.0,201901
AE,190,12,-1.9898249683757736,-10.0,201902
AE,190,6,-5.962934866328788,-10.0,201912
AE,190,312,-4.708877796255546,-10.0,202001
AE,190,188,-3.789795129334961,-10.0,202002
AE,191,7,-0.6728713191356228,-9.5,202001
AE,191,13,3.488816560480324,-9.5,202002
AE,192,2,-2.406307304400975,-9.5,192001
AE,192,1,4.07239819004525,-9.5,201901
AE,192,35,-1.46732805289353,-9.5,202001
AE,192,50,-0.11386534524279607,-9.5,202002
AE,193,6,0.03797649334809505,-10.0,192001
AE,193,92,-2.446657613321605,-10.0,202001
AE,193,42,-0.38368048835760193,-10.0,202002
AE,194,7,-5.845580326773812,-10.0,192001
AE,194,1,-5.34045393858478,-10.0,201901
AE,194,88,-6.691113207031765,-10.0,202001
AE,194,6,-6.8106057835392315,-10.0,202002
AE,195,16,-5.6864942188273275,-10.0,192001
AE,195,2,-5.43057913601207,-10.0,201912
AE,195,11,-3.748931623848334,-10.0,202001
AE,195,5,-3.9436386741593004,-10.0,202002
AF,010,290,-4.154181151947395,0.0,192001
AF,010,10,-4.587858215761379,0.0,201901
AF,010,15,-2.7693454306177756,0.0,201902
AF,010,4,-3.4803534881865748,0.0,201912
AF,010,1828,-3.5738635714981304,0.0,202001
AF,010,2197,-2.6138207700842306,0.0,202002
AF,011,7,-5.772211213207451,-0.1,192001
AF,011,46,-4.113118270399896,-0.1,202001
AF,011,92,-3.27925260081708,-0.1,202002
AF,012,74,-3.81246794719481,-0.4,192001
AF,012,1,0.488758553274691,-0.4,201901
AF,012,486,-3.815116295538473,-0.4,202001
AF,012,511,-3.2667767861332297,-0.4,202002
AF,013,59,-3.689233579131839,0.4,192001
AF,013,1,-2.04236006051437,0.4,201901
AF,013,6,-4.545031592580735,0.4000000000000001,201902
AF,013,490,-3.3848783023077766,0.4,202001
AF,013,831,-1.9511518524596942,0.4,202002
AF,014,18,-2.6546324953293396,0.0,192001
AF,014,2,-10.316318373872313,0.0,201901
AF,014,2,-2.678699326744015,0.0,201902
AF,014,118,-2.5632922296136282,0.0,202001
AF,014,178,-1.6917562090833722,0.0,202002
AF,015,37,-5.497594040080049,0.0,192001
AF,015,3,-10.995871110235996,0.0,201902
AF,015,177,-5.601744283623959,0.0,202001
AF,015,86,-4.1201825700025285,0.0,202002
AF,016,5,-3.8950024072710434,-2.0,192001
AF,016,97,-5.130361182768866,-2.0,202001
AF,016,96,-3.896142164061649,-2.0,202002
AF,017,8,-5.02372270725739,0.0,192001
AF,017,2,1.645580626929265,0.0,201901
AF,017,87,-1.0630248933476019,0.0,202001
AF,017,125,-0.9047335417338077,0.0,202002
AF,018,27,-5.2819362970214,3.4,192001
AF,018,98,-4.092392233561602,3.4,202001
AF,018,48,-3.4980752074036268,3.4,202002
AF,019,4,-3.69522449477319,3.4,202001
AF,019,1,2.30414746543778,3.4,202002
